Proccess,ID,Target,F1mean,F1std,ROCmean,ROCstd
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4356,0.0502,0.391,0.0526
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1091,0.0513,0.0944,0.0541
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1091,0.0513,0.094,0.0531
1a,['T4'],Y1,0.5171,0.0556,0.4958,0.0552
1a,['T4' 'T5'],Y1,0.4592,0.0421,0.4445,0.0477
1a,['T4' 'T5' 'S1'],Y1,0.4552,0.042,0.4208,0.063
1a,['T4' 'T5' 'S1' 'S2'],Y1,0.4429,0.0403,0.4002,0.0657
1a,['T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4475,0.0518,0.407,0.0669
1a,['T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.453,0.0462,0.4069,0.0501
1a,['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4475,0.0542,0.4088,0.0479
1a,['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4595,0.0449,0.4059,0.0443
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio']",Y1,0.4621,0.0466,0.4053,0.042
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4557,0.0543,0.4033,0.0431
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4396,0.0463,0.4016,0.0539
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4325,0.0471,0.3883,0.0518
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1107,0.0523,0.0947,0.053
1a,"['T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1107,0.0523,0.0946,0.0517
1a,['T5'],Y1,0.5133,0.0551,0.4624,0.0535
1a,['T5' 'S1'],Y1,0.4802,0.0362,0.451,0.0699
1a,['T5' 'S1' 'S2'],Y1,0.4604,0.0695,0.4295,0.0538
1a,['T5' 'S1' 'S2' 'S3'],Y1,0.4712,0.0755,0.4307,0.0552
1a,['T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4881,0.0598,0.4387,0.0402
1a,['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4499,0.0556,0.4185,0.0474
1a,['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4666,0.0606,0.4127,0.0406
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio']",Y1,0.4622,0.0508,0.4117,0.038
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4612,0.0595,0.4096,0.0384
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4609,0.0726,0.4108,0.0588
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4678,0.0513,0.4036,0.0521
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1092,0.0519,0.0948,0.0513
1a,"['T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~' 'bin_EPS']",Y1,0.1092,0.0519,0.0947,0.0503
1a,['S1'],Y1,0.474,0.0358,0.4402,0.0691
1a,['S1' 'S2'],Y1,0.4632,0.0569,0.4399,0.0484
1a,['S1' 'S2' 'S3'],Y1,0.4579,0.0779,0.4303,0.0573
1a,['S1' 'S2' 'S3' 'C5~'],Y1,0.4793,0.0618,0.4343,0.0418
1a,['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4437,0.043,0.414,0.0452
1a,['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4651,0.0551,0.4108,0.0381
1a,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio']",Y1,0.4595,0.0446,0.41,0.0349
1a,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4598,0.0409,0.4082,0.038
1a,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4455,0.0635,0.4084,0.058
1a,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~']",Y1,0.4649,0.0479,0.3996,0.0524
1a,"['S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2' 'C3~' 'C6~']",Y1,0.1076,0.0508,0.0917,0.0523
